,ToS,stock,seller,buyer,volume,tradeID
0,999,17,xkvbi,world,-1.0,999|17worldxkvbi-1.0
0,999,14,world,xkvbi,2.0,999|14worldxkvbi2.0
0,1000,0,world,bsfah,1.0,1000|0worldbsfah1.0
0,1000,2,bsfah,world,-3.0,1000|2worldbsfah-3.0
0,1000,5,bsfah,world,-2.0,1000|5worldbsfah-2.0
0,1000,6,world,bsfah,2.0,1000|6worldbsfah2.0
0,1000,8,world,bsfah,2.0,1000|8worldbsfah2.0
0,1000,11,world,bsfah,2.0,1000|11worldbsfah2.0
0,1000,2,fpmrk,world,-1.0,1000|2worldfpmrk-1.0
0,1000,0,world,fpmrk,1.0,1000|0worldfpmrk1.0
0,1000,5,xkvbi,world,-2.0,1000|5worldxkvbi-2.0
0,1000,2,xkvbi,world,-2.0,1000|2worldxkvbi-2.0
0,1000,8,world,xkvbi,2.0,1000|8worldxkvbi2.0
0,1000,0,world,xkvbi,1.0,1000|0worldxkvbi1.0
0,1000,11,world,xkvbi,2.0,1000|11worldxkvbi2.0
0,1000,6,world,xkvbi,1.0,1000|6worldxkvbi1.0
0,1000,17,world,xkvbi,1.0,1000|17worldxkvbi1.0
0,1000,14,xkvbi,world,-1.0,1000|14worldxkvbi-1.0
0,1001,0,world,bsfah,1.0,1001|0worldbsfah1.0
0,1001,2,bsfah,world,-2.0,1001|2worldbsfah-2.0
0,1001,6,bsfah,world,-1.0,1001|6worldbsfah-1.0
0,1001,8,world,bsfah,1.0,1001|8worldbsfah1.0
0,1001,11,world,bsfah,2.0,1001|11worldbsfah2.0
0,1001,18,world,vahzp,1.0,1001|18worldvahzp1.0
0,1001,17,world,fpmrk,1.0,1001|17worldfpmrk1.0
0,1001,2,xkvbi,world,-2.0,1001|2worldxkvbi-2.0
0,1001,11,world,xkvbi,1.0,1001|11worldxkvbi1.0
0,1001,6,xkvbi,world,-1.0,1001|6worldxkvbi-1.0
0,1001,17,world,xkvbi,2.0,1001|17worldxkvbi2.0
0,1002,2,bsfah,world,-1.0,1002|2worldbsfah-1.0
0,1002,11,xkvbi,world,-1.0,1002|11worldxkvbi-1.0
0,1002,4,world,xkvbi,1.0,1002|4worldxkvbi1.0
0,1002,8,world,xkvbi,2.0,1002|8worldxkvbi2.0
0,1002,2,xkvbi,world,-1.0,1002|2worldxkvbi-1.0
0,1002,5,world,xkvbi,1.0,1002|5worldxkvbi1.0
0,1002,0,fpmrk,world,-1.0,1002|0worldfpmrk-1.0
0,1002,17,fpmrk,world,-1.0,1002|17worldfpmrk-1.0
0,1002,6,world,xkvbi,1.0,1002|6worldxkvbi1.0
0,1002,18,world,fpmrk,1.0,1002|18worldfpmrk1.0
0,1002,0,zrdwn,world,-1.0,1002|0worldzrdwn-1.0
0,1002,6,zrdwn,world,-1.0,1002|6worldzrdwn-1.0
0,1002,11,bsfah,world,-1.0,1002|11worldbsfah-1.0
0,1002,8,world,bsfah,2.0,1002|8worldbsfah2.0
0,1002,6,world,bsfah,2.0,1002|6worldbsfah2.0
0,1002,5,world,bsfah,1.0,1002|5worldbsfah1.0
0,1002,4,world,bsfah,1.0,1002|4worldbsfah1.0
0,1002,5,world,zrdwn,1.0,1002|5worldzrdwn1.0
0,1002,17,xkvbi,world,-1.0,1002|17worldxkvbi-1.0
0,1003,0,bsfah,world,-2.0,1003|0worldbsfah-2.0
0,1003,6,xkvbi,world,-5.0,1003|6worldxkvbi-5.0
0,1003,11,xkvbi,world,-4.0,1003|11worldxkvbi-4.0
0,1003,4,world,xkvbi,3.0,1003|4worldxkvbi3.0
0,1003,0,xkvbi,world,-2.0,1003|0worldxkvbi-2.0
0,1003,2,xkvbi,world,-1.0,1003|2worldxkvbi-1.0
0,1003,5,world,xkvbi,3.0,1003|5worldxkvbi3.0
0,1003,6,fpmrk,world,-1.0,1003|6worldfpmrk-1.0
0,1003,17,world,fpmrk,1.0,1003|17worldfpmrk1.0
0,1003,17,world,xkvbi,1.0,1003|17worldxkvbi1.0
0,1003,18,fpmrk,world,-1.0,1003|18worldfpmrk-1.0
0,1003,5,world,vahzp,1.0,1003|5worldvahzp1.0
0,1003,2,vahzp,world,-1.0,1003|2worldvahzp-1.0
0,1003,11,vahzp,world,-1.0,1003|11worldvahzp-1.0
0,1003,11,bsfah,world,-3.0,1003|11worldbsfah-3.0
0,1003,8,world,bsfah,2.0,1003|8worldbsfah2.0
0,1003,6,bsfah,world,-6.0,1003|6worldbsfah-6.0
0,1003,5,world,bsfah,4.0,1003|5worldbsfah4.0
0,1003,4,world,bsfah,5.0,1003|4worldbsfah5.0
0,1003,14,world,fpmrk,1.0,1003|14worldfpmrk1.0
0,1003,14,world,xkvbi,2.0,1003|14worldxkvbi2.0
0,1004,0,world,bsfah,1.0,1004|0worldbsfah1.0
0,1004,2,xkvbi,world,-1.0,1004|2worldxkvbi-1.0
