,ToS,stock,seller,buyer,volume,tradeID
0,1001,3,world,djruh,1.0,1001|3worlddjruh1.0
0,1001,4,hjmxr,world,-34.0,1001|4worldhjmxr-34.0
0,1001,5,hjmxr,world,-2.0,1001|5worldhjmxr-2.0
0,1001,8,world,hipzw,48.0,1001|8worldhipzw48.0
0,1001,9,hipzw,world,-67.0,1001|9worldhipzw-67.0
0,1001,11,world,hipzw,21.0,1001|11worldhipzw21.0
0,1001,13,world,wizey,4.0,1001|13worldwizey4.0
0,1001,15,wizey,world,-22.0,1001|15worldwizey-22.0
0,1001,16,uitcq,world,-7.0,1001|16worlduitcq-7.0
0,1001,17,world,uitcq,23.0,1001|17worlduitcq23.0
0,1001,19,world,uitcq,6.0,1001|19worlduitcq6.0
0,1002,1,djruh,world,-2.0,1002|1worlddjruh-2.0
0,1002,2,djruh,world,-3.0,1002|2worlddjruh-3.0
0,1002,3,world,djruh,5.0,1002|3worlddjruh5.0
0,1002,4,hjmxr,world,-163.0,1002|4worldhjmxr-163.0
0,1002,5,world,hjmxr,158.0,1002|5worldhjmxr158.0
0,1002,8,world,hipzw,22.0,1002|8worldhipzw22.0
0,1002,9,world,hipzw,13.0,1002|9worldhipzw13.0
0,1002,11,hipzw,world,-24.0,1002|11worldhipzw-24.0
0,1002,13,world,wizey,18.0,1002|13worldwizey18.0
0,1002,15,wizey,world,-18.0,1002|15worldwizey-18.0
0,1002,16,uitcq,world,-21.0,1002|16worlduitcq-21.0
0,1002,17,world,uitcq,18.0,1002|17worlduitcq18.0
0,1002,19,world,uitcq,35.0,1002|19worlduitcq35.0
0,1003,1,world,djruh,5.0,1003|1worlddjruh5.0
0,1003,2,world,djruh,9.0,1003|2worlddjruh9.0
0,1003,3,djruh,world,-6.0,1003|3worlddjruh-6.0
0,1003,4,world,hjmxr,271.0,1003|4worldhjmxr271.0
0,1003,5,hjmxr,world,-195.0,1003|5worldhjmxr-195.0
0,1003,8,world,hipzw,22.0,1003|8worldhipzw22.0
0,1003,9,hipzw,world,-32.0,1003|9worldhipzw-32.0
0,1003,11,hipzw,world,-1.0,1003|11worldhipzw-1.0
0,1003,13,wizey,world,-63.0,1003|13worldwizey-63.0
0,1003,15,world,wizey,55.0,1003|15worldwizey55.0
0,1003,16,uitcq,world,-5.0,1003|16worlduitcq-5.0
0,1003,17,world,uitcq,4.0,1003|17worlduitcq4.0
0,1003,19,world,uitcq,8.0,1003|19worlduitcq8.0
0,1004,1,world,djruh,5.0,1004|1worlddjruh5.0
0,1004,2,world,djruh,3.0,1004|2worlddjruh3.0
0,1004,3,djruh,world,-6.0,1004|3worlddjruh-6.0
0,1004,4,hjmxr,world,-27.0,1004|4worldhjmxr-27.0
0,1004,5,hjmxr,world,-12.0,1004|5worldhjmxr-12.0
0,1004,8,world,hipzw,7.0,1004|8worldhipzw7.0
0,1004,9,hipzw,world,-3.0,1004|9worldhipzw-3.0
0,1004,11,world,hipzw,1.0,1004|11worldhipzw1.0
0,1004,13,world,wizey,9.0,1004|13worldwizey9.0
0,1004,15,world,wizey,5.0,1004|15worldwizey5.0
0,1004,16,world,uitcq,45.0,1004|16worlduitcq45.0
0,1004,17,uitcq,world,-34.0,1004|17worlduitcq-34.0
0,1004,19,uitcq,world,-26.0,1004|19worlduitcq-26.0
0,1005,1,djruh,world,-3.0,1005|1worlddjruh-3.0
0,1005,3,world,djruh,7.0,1005|3worlddjruh7.0
0,1005,4,world,hjmxr,105.0,1005|4worldhjmxr105.0
0,1005,5,hjmxr,world,-105.0,1005|5worldhjmxr-105.0
0,1005,8,hipzw,world,-37.0,1005|8worldhipzw-37.0
0,1005,9,world,hipzw,59.0,1005|9worldhipzw59.0
0,1005,11,world,hipzw,7.0,1005|11worldhipzw7.0
0,1005,15,world,wizey,3.0,1005|15worldwizey3.0
0,1005,16,uitcq,world,-6.0,1005|16worlduitcq-6.0
0,1005,17,world,uitcq,41.0,1005|17worlduitcq41.0
0,1005,19,uitcq,world,-34.0,1005|19worlduitcq-34.0
0,1006,1,djruh,world,-14.0,1006|1worlddjruh-14.0
0,1006,2,djruh,world,-2.0,1006|2worlddjruh-2.0
0,1006,3,world,djruh,15.0,1006|3worlddjruh15.0
0,1006,4,hjmxr,world,-31.0,1006|4worldhjmxr-31.0
0,1006,5,hjmxr,world,-7.0,1006|5worldhjmxr-7.0
0,1006,8,hipzw,world,-23.0,1006|8worldhipzw-23.0
0,1006,9,world,hipzw,28.0,1006|9worldhipzw28.0
0,1006,11,hipzw,world,-20.0,1006|11worldhipzw-20.0
0,1006,13,world,wizey,75.0,1006|13worldwizey75.0
0,1006,15,wizey,world,-45.0,1006|15worldwizey-45.0
0,1006,16,world,uitcq,39.0,1006|16worlduitcq39.0
0,1006,17,uitcq,world,-16.0,1006|17worlduitcq-16.0
0,1006,19,uitcq,world,-51.0,1006|19worlduitcq-51.0
0,1007,1,world,djruh,26.0,1007|1worlddjruh26.0
0,1007,2,djruh,world,-8.0,1007|2worlddjruh-8.0
0,1007,3,djruh,world,-28.0,1007|3worlddjruh-28.0
0,1007,4,hjmxr,world,-9.0,1007|4worldhjmxr-9.0
0,1007,5,world,hjmxr,17.0,1007|5worldhjmxr17.0
0,1007,8,hipzw,world,-1.0,1007|8worldhipzw-1.0
0,1007,9,hipzw,world,-4.0,1007|9worldhipzw-4.0
0,1007,11,world,hipzw,4.0,1007|11worldhipzw4.0
0,1007,13,wizey,world,-103.0,1007|13worldwizey-103.0
0,1007,15,world,wizey,93.0,1007|15worldwizey93.0
0,1007,16,uitcq,world,-3.0,1007|16worlduitcq-3.0
0,1007,17,world,uitcq,32.0,1007|17worlduitcq32.0
0,1007,19,uitcq,world,-14.0,1007|19worlduitcq-14.0
0,1008,1,djruh,world,-14.0,1008|1worlddjruh-14.0
0,1008,2,world,djruh,14.0,1008|2worlddjruh14.0
0,1008,3,world,djruh,9.0,1008|3worlddjruh9.0
0,1008,4,world,hjmxr,38.0,1008|4worldhjmxr38.0
0,1008,5,hjmxr,world,-15.0,1008|5worldhjmxr-15.0
0,1008,8,hipzw,world,-8.0,1008|8worldhipzw-8.0
0,1008,9,world,hipzw,56.0,1008|9worldhipzw56.0
0,1008,11,hipzw,world,-59.0,1008|11worldhipzw-59.0
0,1008,13,wizey,world,-126.0,1008|13worldwizey-126.0
0,1008,15,world,wizey,110.0,1008|15worldwizey110.0
0,1008,16,uitcq,world,-2.0,1008|16worlduitcq-2.0
0,1008,17,world,uitcq,34.0,1008|17worlduitcq34.0
0,1008,19,uitcq,world,-2.0,1008|19worlduitcq-2.0
0,1009,1,world,djruh,6.0,1009|1worlddjruh6.0
0,1009,2,world,djruh,15.0,1009|2worlddjruh15.0
0,1009,3,djruh,world,-19.0,1009|3worlddjruh-19.0
0,1009,4,world,hjmxr,225.0,1009|4worldhjmxr225.0
0,1009,5,hjmxr,world,-118.0,1009|5worldhjmxr-118.0
